trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3488,False,"{'a': 0.01, 'e': 0.030592512179012835}",25,5,35.55221072039493,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3489,False,"{'a': 0.01, 'e': 0.030561934957992438}",25,7,30.970146455591966,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3490,False,"{'a': 0.01, 'e': 0.030531388298909546}",25,20,9.618325321774494,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3491,False,"{'a': 0.01, 'e': 0.030500872171217483}",20,3,16.138918341502787,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
3492,False,"{'a': 0.01, 'e': 0.030470386544400145}",30,18,17.71604961508199,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
3493,False,"{'a': 0.01, 'e': 0.03043993138797189}",20,0,28.12927780894042,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3494,False,"{'a': 0.01, 'e': 0.030409506671477564}",20,11,4.991030424339561,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
3495,False,"{'a': 0.01, 'e': 0.03037911236449243}",20,8,19.020783520503308,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3496,False,"{'a': 0.01, 'e': 0.030348748436622202}",25,19,8.710745289976849,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3497,False,"{'a': 0.01, 'e': 0.03031841485750294}",20,13,12.209689183168633,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3498,False,"{'a': 0.01, 'e': 0.030288111596801063}",20,5,28.14626293834599,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3499,False,"{'a': 0.01, 'e': 0.030257838624213294}",25,7,6.427250487705762,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
3500,False,"{'a': 0.01, 'e': 0.030227595909466682}",20,9,23.476983544056605,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3501,False,"{'a': 0.01, 'e': 0.0301973834223185}",20,15,10.939850562439172,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3502,False,"{'a': 0.01, 'e': 0.03016720113255626}",20,15,9.806036496770286,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3503,False,"{'a': 0.01, 'e': 0.030137049009997648}",20,0,-7.730379048521957,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
3504,False,"{'a': 0.01, 'e': 0.03010692702449057}",25,8,30.689734566494504,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3505,False,"{'a': 0.01, 'e': 0.03007683514591303}",35,20,32.05493233458315,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3506,False,"{'a': 0.01, 'e': 0.03004677334417314}",20,12,6.4004945501567265,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
3507,False,"{'a': 0.01, 'e': 0.030016741589209084}",25,19,11.466896986219696,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3508,False,"{'a': 0.01, 'e': 0.029986739850989135}",25,3,33.97642162002255,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3509,False,"{'a': 0.01, 'e': 0.029956768099511533}",25,13,22.714238135963136,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3510,False,"{'a': 0.01, 'e': 0.02992682630480453}",20,10,18.774223435631455,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3511,False,"{'a': 0.01, 'e': 0.029896914436926308}",30,9,36.987816503417946,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
3512,False,"{'a': 0.01, 'e': 0.02986703246596503}",25,11,29.150755182688,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3513,False,"{'a': 0.01, 'e': 0.029837180362038706}",25,19,10.831497770308038,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3514,False,"{'a': 0.01, 'e': 0.029807358095295233}",20,8,20.492802010976046,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3515,False,"{'a': 0.01, 'e': 0.02977756563591232}",25,15,17.8000422971355,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3516,False,"{'a': 0.01, 'e': 0.029747802954097544}",20,7,22.349198469054777,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3517,False,"{'a': 0.01, 'e': 0.0297180700200882}",20,10,19.26672530869004,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3518,False,"{'a': 0.01, 'e': 0.02968836680415135}",20,15,7.8571292110138,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3519,False,"{'a': 0.01, 'e': 0.029658693276583766}",20,10,23.570554248957873,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3520,False,"{'a': 0.01, 'e': 0.029629049407711945}",25,17,14.38929252463446,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3521,False,"{'a': 0.01, 'e': 0.029599435167892}",20,11,-2.643835108187001,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
3522,False,"{'a': 0.01, 'e': 0.02956985052750969}",25,12,24.207001363428027,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3523,False,"{'a': 0.01, 'e': 0.029540295456980357}",25,13,22.970703049825996,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3524,False,"{'a': 0.01, 'e': 0.029510769926748955}",25,20,11.50577679299397,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3525,False,"{'a': 0.01, 'e': 0.02948127390728994}",20,10,19.91574395258842,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3526,False,"{'a': 0.01, 'e': 0.02945180736910729}",25,7,33.87382919331971,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3527,False,"{'a': 0.01, 'e': 0.02942237028273445}",20,10,20.18942031232479,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3528,False,"{'a': 0.01, 'e': 0.029392962618734357}",25,8,-9.825749762638983,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
3529,False,"{'a': 0.01, 'e': 0.029363584347699333}",30,16,-15.385051129324484,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
3530,False,"{'a': 0.01, 'e': 0.029334235440251103}",20,6,21.341046701527183,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3531,False,"{'a': 0.01, 'e': 0.029304915867040746}",25,12,19.8471080338492,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
3532,False,"{'a': 0.01, 'e': 0.02927562559874871}",20,10,18.49666587169926,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3533,False,"{'a': 0.01, 'e': 0.029246364606084714}",25,14,17.366148836863996,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3534,False,"{'a': 0.01, 'e': 0.029217132859787758}",30,16,26.88492678751013,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3535,False,"{'a': 0.01, 'e': 0.029187930330626086}",25,18,11.775362168838187,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3536,False,"{'a': 0.01, 'e': 0.02915875698939719}",20,5,30.562333414524602,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3537,False,"{'a': 0.01, 'e': 0.02912961280692771}",20,8,19.799636308382354,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3538,False,"{'a': 0.01, 'e': 0.02910049775407347}",20,16,7.95124751498293,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3539,False,"{'a': 0.01, 'e': 0.02907141180171939}",30,13,31.4314830718395,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3540,False,"{'a': 0.01, 'e': 0.029042354920779553}",20,10,13.127132728000124,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
